0,1,2,3,4,5,6,7,8,9,10,11
0,0,0,0,0,0,25,26,172,173,237,822
0,0,0,0,0,0,0,0,0,62,66,104
0,0,0,0,0,0,0,0,0,0,437,119
0,0,0,0,0,0,1043,1,581,1044,237,1610
0,0,0,0,0,0,0,612,3315,1372,3316,1361
0,0,0,0,0,0,0,0,0,0,579,5
0,0,0,0,243,536,20,392,299,3688,274,656
0,0,0,0,0,0,0,0,0,16,1,850
0,0,0,0,0,0,0,0,0,0,0,833
0,0,0,0,0,0,0,0,0,255,6,73
0,0,0,0,0,0,0,952,1,6,370,1126
0,0,0,0,0,0,0,0,6,217,2,617
0,0,0,0,0,336,2961,243,884,146,20,1329
0,0,0,0,0,1,2929,69,67,2,1,2930
0,0,0,0,0,0,0,0,0,1,883,22
0,0,0,0,0,0,0,0,0,0,409,13
0,0,0,0,0,0,0,0,0,0,0,3669
0,0,0,0,0,25,26,172,173,547,265,369
0,0,0,0,0,0,0,0,161,401,1127,19
0,0,0,0,0,0,0,0,642,3,43,1586
0,0,0,0,0,0,0,0,0,49,44,1277
0,0,0,0,2272,2273,1,1328,2274,2,1,549
0,0,0,0,0,0,0,0,0,0,0,1603
0,0,0,0,0,0,0,0,2058,295,2,1162
0,0,0,0,0,0,0,0,0,1,43,3595
0,0,0,0,0,0,0,0,0,0,1097,1450
0,0,0,0,0,0,0,0,0,10,85,104
0,0,0,0,0,0,0,0,133,580,48,728
0,0,0,0,0,0,0,0,0,0,1,2733
0,0,0,0,0,0,0,0,33,15,30,481
0,0,0,0,0,0,0,33,15,30,200,3
0,0,0,0,0,0,0,0,0,62,66,108
0,0,0,0,0,0,0,502,43,2,1,158
0,0,0,0,0,0,0,0,0,0,577,9
0,0,0,0,0,0,0,103,252,36,256,3
0,0,0,0,0,0,0,0,857,721,7,2018
0,0,0,0,0,0,0,0,0,0,1188,86
0,0,0,0,0,0,0,0,0,0,96,97
0,0,0,0,0,0,0,0,0,19,458,4
0,0,0,0,0,0,1,1902,866,2895,32,2896
0,0,0,0,0,1,42,2,303,2372,1295,115
0,0,0,0,0,0,732,733,21,742,1,3077
0,0,0,0,0,0,385,386,2290,596,2,517
0,0,0,0,0,0,0,0,0,0,1518,2043
0,0,0,0,0,0,0,0,0,66,368,389
0,0,0,0,0,0,324,344,345,262,980,2742
0,0,0,0,0,0,0,0,0,201,1203,1237
0,0,0,0,0,875,1,1950,748,2,1,1206
0,0,0,0,0,0,0,0,1780,14,368,214
0,0,0,0,0,0,0,0,0,0,437,5
0,0,0,0,0,0,0,0,543,354,2,1072
0,0,0,0,0,0,0,0,174,129,443,4
0,0,0,0,0,0,0,0,0,0,190,2980
0,0,0,0,0,0,0,0,23,52,14,320
0,0,0,0,7,8,453,222,39,1595,2,1726
0,0,0,0,0,0,0,0,0,71,19,1475
0,0,0,0,0,0,0,0,0,0,1360,492
0,0,0,0,0,0,0,0,0,0,953,1357
0,0,0,0,0,1192,1,232,2,1,472,1295
0,0,0,0,0,2157,2158,1,283,2,2159,2160
0,0,0,0,0,0,0,0,0,0,0,3004
0,0,0,0,0,7,8,1,441,8,479,27
0,0,0,0,0,0,0,0,218,367,2,2754
0,0,0,0,0,0,1,3140,393,161,1989,623
0,0,0,0,0,0,0,0,0,0,445,1256
0,0,0,0,0,0,0,0,815,400,43,143
0,0,0,0,0,0,0,0,0,2782,60,2783
0,0,0,0,0,0,0,0,373,9,274,2148
0,0,0,0,0,0,0,96,97,106,111,907
0,0,0,0,0,0,0,0,0,0,0,2113
0,0,0,0,0,0,0,0,0,18,14,82
0,0,0,0,0,0,0,0,0,0,2348,302
0,0,0,0,0,0,0,0,0,539,397,2515
0,0,0,0,0,0,0,0,0,218,507,801
0,0,0,0,0,0,0,0,0,2239,2240,269
0,0,0,0,0,0,0,0,0,54,73,9
0,0,618,7,198,535,37,1668,20,207,717,68
0,0,0,0,0,0,0,0,0,0,0,1642
0,0,0,0,0,16,7,8,5,1,308,265
0,0,0,0,0,0,0,317,2,654,2625,118
0,0,0,0,0,0,0,0,0,286,142,4
0,0,0,0,0,0,0,0,0,264,14,1240
0,0,0,0,0,0,0,0,0,80,644,882
0,0,0,0,0,0,0,0,0,17,485,23
0,0,0,0,0,0,0,0,0,0,2013,278
0,0,0,0,0,0,0,0,0,485,1,86
0,0,0,0,80,107,210,9,2332,2,1,2333
0,0,0,0,0,0,0,2134,3,2300,576,3593
0,0,0,0,0,0,0,0,0,28,2996,288
0,0,0,0,0,0,0,0,268,21,233,391
0,0,0,0,0,0,0,0,0,0,2031,102
0,0,0,0,0,0,0,0,135,851,1136,32
0,0,0,0,0,0,0,0,299,1018,1289,3180
0,0,0,0,0,0,1,94,2,729,121,1198
0,0,0,0,0,0,0,0,0,0,1659,807
0,0,0,0,0,0,0,0,0,88,45,5
0,0,0,0,0,0,0,0,0,1172,31,2665
0,0,0,0,0,0,819,410,3381,31,1,105
0,0,0,0,0,0,0,0,0,0,3820,3821
0,0,0,0,0,0,0,0,33,15,30,200
0,0,0,0,0,0,0,0,0,28,489,63
0,0,0,0,0,0,0,0,2171,1,549,317
0,0,0,0,0,0,0,0,1859,1001,2,39
0,0,0,0,0,0,0,0,0,1190,2,1482
0,0,0,0,0,0,0,0,0,2867,1724,2868
0,0,0,0,0,0,0,0,226,2,39,51
0,0,0,0,0,0,0,0,0,616,829,3
0,0,0,0,0,0,0,0,0,91,490,454
0,0,0,0,0,0,0,0,0,1,427,22
0,0,0,0,0,0,16,7,8,1,470,180
0,0,0,0,0,0,0,0,174,129,443,9
0,0,0,0,0,0,0,0,0,1077,989,486
0,0,0,0,0,0,0,0,218,398,2,292
0,0,0,0,0,0,0,0,0,2257,171,3
0,0,0,0,0,0,0,0,0,0,0,254
0,0,0,0,0,0,0,0,35,388,46,115
0,0,0,0,0,0,0,0,0,1,427,804
0,0,0,0,0,0,0,0,0,96,97,658
0,0,0,0,0,0,0,0,0,0,28,288
0,0,0,0,0,0,0,0,0,771,1,913
0,0,0,0,0,0,0,0,24,154,391,34
0,0,0,0,0,0,1103,40,171,1,564,1397
0,0,0,0,0,0,0,0,0,2340,2341,895
0,0,0,0,0,0,653,756,11,1,241,2368
0,0,0,0,0,0,0,114,178,150,645,1270
0,0,0,0,0,0,0,0,0,0,270,3
0,0,0,0,0,0,0,0,0,338,159,29
0,0,0,0,0,0,47,2,65,6,222,39
0,0,0,0,0,0,0,0,0,2319,261,1052
0,0,0,0,0,0,0,88,45,19,2,101
0,0,0,0,0,0,0,0,0,120,34,143
0,0,0,0,0,0,0,0,0,0,0,2830
0,0,0,0,0,0,0,0,419,100,3320,895
0,0,0,0,0,0,0,0,2155,3,3540,19
0,0,0,0,0,0,0,0,0,1854,1173,997
0,0,0,0,0,0,0,0,3795,2321,3796,3797
0,0,0,0,0,0,0,939,250,159,1,2572
0,0,0,0,0,0,0,128,600,487,1719,73
0,0,0,0,0,0,0,0,0,0,0,3860
0,0,0,0,0,0,0,0,0,3529,399,3
0,0,0,0,0,0,0,0,0,688,2322,2323
0,0,0,0,0,0,0,0,0,0,901,1145
0,0,0,0,0,0,0,355,695,1100,2083,3170
0,0,0,0,0,0,0,2495,6,2496,1,359
0,0,0,0,0,0,0,0,0,0,1310,1768
0,0,0,0,0,0,0,0,1372,20,1373,2516
0,0,0,0,0,0,0,0,0,1009,43,313
0,0,0,0,0,0,0,0,0,272,40,517
0,0,0,0,0,0,0,0,0,10,85,104
0,0,0,0,0,0,0,0,0,1172,319,421
0,0,0,0,0,0,0,0,0,18,368,387
0,0,0,0,0,0,0,0,0,114,178,150
0,0,0,0,0,0,0,0,0,212,83,213
0,0,0,0,0,0,0,0,0,0,0,2543
0,0,0,0,0,0,12,46,77,430,592,3
0,0,0,0,0,0,0,849,510,91,135,372
0,0,0,0,0,0,1265,1657,55,383,1,525
0,0,0,0,0,0,0,0,0,1,231,227
0,0,0,0,0,0,0,0,0,0,1427,2950
0,0,0,0,0,0,0,0,0,0,128,274
0,0,0,0,0,0,0,0,0,0,1395,3738
0,0,0,0,0,0,0,0,70,13,334,566
0,0,0,0,0,0,0,0,0,0,0,2182
0,0,0,0,0,0,0,0,0,312,671,4
0,0,0,0,0,0,0,0,0,0,363,353
0,0,0,0,0,0,0,0,0,223,3497,594
0,0,0,0,0,0,0,601,285,174,15,1729
0,0,0,0,0,0,0,0,0,969,970,623
0,0,0,0,0,0,0,0,0,126,2052,2053
0,0,0,0,0,0,0,0,982,5,253,39
0,0,0,0,0,0,0,0,831,1,290,22
0,0,0,0,0,0,0,0,96,97,94,3633
0,0,0,0,0,0,0,0,24,40,607,1145
0,0,0,0,0,0,0,0,0,0,730,27
0,0,0,0,0,0,0,0,0,32,93,53
0,0,0,0,0,0,0,0,325,230,4,609
